Date,Time,City,Location,Latitude,Longitude,High_Accuracy,Direction,Type,Lanes_Blocked,Involved,Tweet,Source
2018-08-21,6:30 AM,Quezon City,QUEZON AVENUE,14.639754,121.03033500000001,0,WB,VEHICULAR ACCIDENT,1.0,BUS AND CAR,MMDA ALERT: Vehicular accident at Quezon Avenue WB  involving Bus and car as of 6:30 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032033651066724352
2018-08-21,6:39 AM,Makati City,EDSA AYALA TUNNEL,14.550028,121.029058,1,NB,STALLED L300 DUE TO MECHANICAL PROBLEM,1.0,L300,MMDA ALERT: Stalled L300 due to mechanical problem at EDSA Ayala Tunnel NB as of 6:39 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032035752467554304
2018-08-21,6:41 AM,Quezon City,EDSA NEPA Q-MART,14.627928,121.04725900000001,1,NB,VEHICULAR ACCIDENT,1.0,BUS AND CAR,MMDA ALERT: Vehicular accident at EDSA Nepa Q-Mart NB  involving Bus and car as of  6:41 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032036229607448577
2018-08-21,6:42 AM,Quezon City,EDSA P. TUAZON,14.616404000000001,121.052548,0,SB,VEHICULAR ACCIDENT,1.0,2 SUV'S,MMDA ALERT: Vehicular accident at EDSA P. Tuazon SB  involving 2 SUV's as of  6:42 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032036565961175040
2018-08-21,6:48 AM,Quezon City,C5 GREENMEADOWS,14.601442,121.079351,1,SB,VEHICULAR ACCIDENT,1.0,CAR AND MC,MMDA ALERT: Vehicular accident at C5 Greenmeadows SB involving car and Mc as of  6:48 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032040486033219585
2018-08-21,7:16 AM,Quezon City,COMMONWEALTH LUZON,14.665329999999999,121.07046899999999,1,WB,VEHICULAR ACCIDENT,1.0,SUV AND PUJ,MMDA ALERT: Vehicular accident at Commonwealth Luzon WB involving SUV and PUJ as of  7:16 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032046835903295488
2018-08-21,7:20 AM,Quezon City,LUZON F/O,14.665241,121.07033899999999,0,SB,VEHICULAR ACCIDENT,1.0,CAR AND SUV,MMDA ALERT: Vehicular accident at Luzon f/o SB involving car and SUV as of  7:20 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032047326804598784
2018-08-21,7:21 AM,Quezon City,ELLIPTICAL,14.65424,121.04978799999999,1,DAR,VEHICULAR ACCIDENT,1.0,CAR AND VAN,MMDA ALERT: Vehicular accident at Elliptical DAR involving car and van as of 7:21 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032048636073455616
2018-08-21,7:27 AM,Quezon City,EDSA P. TUAZON TUNNEL,14.616404000000001,121.052548,0,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1.0,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA P. Tuazon tunnel SB as of 7:27 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032050747511201792
2018-08-22,8:15 AM,Makati City,EDSA ESTRELLA,14.559818,121.04073700000001,1,SB,VEHICULAR ACCIDENT,1.0,CAR AND AUV,MMDA ALERT: Vehicular accident at EDSA Estrella SB involving car and AUV as of 8:15 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032062432057778177
2018-08-22,8:35 AM,Mandaluyong,EDSA RELIANCE,14.576702,121.05036499999999,1,SB,VEHICULAR ACCIDENT,1.0,CAR AND MC,MMDA ALERT: Vehicular accident at EDSA Reliance SB involving car and MC as of 8:35 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032067432230281217
2018-08-22,8:58 AM,Quezon City,QUEZON AVE. AGHAM,14.646323,121.040861,0,WB,VEHICULAR ACCIDENT,1.0,CAR AND AUV,MMDA ALERT: Vehicular accident at Quezon Ave. Agham WB involving car and AUV as of 8:58 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032072441852354561
2018-08-22,8:59 AM,Pasay City,ROXAS BLVD. BUENDIA AVE.,14.552294,120.98949099999999,0,NB,VEHICULAR ACCIDENT,1.0,CAR AND BUS,MMDA ALERT: Vehicular accident at Roxas blvd. Buendia Ave. NB involving car and bus as of 8:59 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032075954338680832
2018-08-22,9:07 AM,Quezon City,MINDANAO ROAD 20,14.671785999999999,121.032319,1,NB,ONGOING DPWH ROAD PATCHING,1.0,,MMDA ALERT: Ongoing DPWH Road Patching at Mindanao road 20 NB as of 9:07 AM. 1 lane occupied. MMDA on site. #mmda,https://twitter.com/mmda/status/1032076101613281280
2018-08-22,9:32 AM,Quezon City,B. SERRANO KATIPUNAN TUNNEL,14.61474,121.07068500000001,0,SB,STALLED VAN DUE TO MECHANICAL PROBLEM,1.0,VAN,MMDA ALERT: Stalled van due to mechanical problem at B. Serrano Katipunan tunnel SB as of 9:32 AM. 1 lane occupied.… https://t.co/qTdfOdN4AQ,https://twitter.com/mmda/status/1032081665772769280
2018-08-22,10:15 AM,Makati City,EDSA BUENDIA,14.554948999999999,121.034967,1,SB,VEHICULAR ACCIDENT,1.0,TAXI AND BUS,MMDA ALERT: Vehicular accident at EDSA Buendia SB involving taxi and bus as of 10:15 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032094428347822081
2018-08-22,10:37 AM,Makati City,EDSA BUENDIA SPLIT,14.555822000000001,121.035928,1,SB,VEHICULAR ACCIDENT,1.0,CAR AND SUV,MMDA ALERT: Vehicular accident at EDSA Buendia Split SB involving car and SUV as of 10:37 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032099200312401925
2018-08-22,10:51 AM,Makati City,EDSA PET PLANS,14.561892000000002,121.04307,1,SB,VEHICULAR ACCIDENT,1.0,CAR AND VAN,MMDA ALERT: Vehicular accident at EDSA Pet Plans SB involving car and van as of 10:51 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032099414154735618
2018-08-22,10:58 AM,Quezon City,C5 LIBIS,14.603015,121.079256,1,NB,VEHICULAR ACCIDENT,1.0,PICK UP ELF TRUCK,MMDA ALERT: Vehicular accident at C5 Libis NB involving pick up elf truck as of 10:58 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032103520558673921
2018-08-22,1:40 PM,Mandaluyong,EDSA STARMALL,14.582431,121.05446699999999,1,SB,VEHICULAR ACCIDENT,1.0,2 BUSES,MMDA ALERT: Vehicular accident at EDSA Starmall SB involving 2 buses as of 1:40 PM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032142239579815936
2018-08-22,2:01 PM,Quezon City,ELLIPTICAL,14.65424,121.04978799999999,1,,STALLED JEEP DUE TO MECHANICAL DEFECT,1.0,JEEP,MMDA ALERT: Stalled jeep due to mechanical defect at Elliptical Road frontng NHA as of 2:01 PM. 1 lane occupied. MM… https://t.co/jKNJ0qL96Y,https://twitter.com/mmda/status/1032148785902759936
2018-08-22,2:05 PM,Mandaluyong,EDSA QUEZON AVENUE FLYOVER,14.582431,121.05446699999999,1,NB,VEHICULAR ACCIDENT,1.0,MOTORCYCLE,MMDA ALERT: Vehicular accident at EDSA Quezon avenue flyover NB involving motorcycle  as of 2:05 PM. 1 lane occupie… https://t.co/slXbNZ5r7J,https://twitter.com/mmda/status/1032150340919939073
2018-08-22,2:13 PM,Quezon City,ELLIPTICAL,14.65424,121.04978799999999,1,,VEHICULAR ACCIDENT,1.0,VAN AND CAR,MMDA ALERT: Vehicular accident at Elliptical Road fronting NHA involving van and car as of 2:13 PM. 1 lane occupied… https://t.co/lORwYaMwWT,https://twitter.com/mmda/status/1032151572782837760
2018-08-22,2:21 PM,Pasay City,ROXAS BLVD. P.OCAMPO,14.559551,120.987075,0,SB,MULTIPLE COLLISION,1.0,"2 VAN, AUV AND TAXI","MMDA ALERT: Multiple collision at Roxas Blvd. P.Ocampo SB involving 2 van, AUV and taxi as of 2:21 PM. 1 lane occup… https://t.co/9kJERH2h1f",https://twitter.com/mmda/status/1032154510578212864
2018-08-22,2:43 PM,Quezon City,AURORA BLVD. KATIPUNAN,14.631692000000001,121.07421699999999,0,EB,STALLED TRUCK DUE TO MECHANICAL DEFECT,1.0,TRUCK,MMDA ALERT: Stalled truck due to mechanical defect at Aurora Blvd. Katipunan EB as of 2:43 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032158101107961857
2018-08-22,2:44 PM,Quezon City,KATIPUNAN ATENEO,14.638481,121.07453999999998,1,SB,STALLED TRUCK DUE TO MECHANICAL DEFECT KATIPUNAN,1.0,TRUCK,MMDA ALERT: Stalled truck due to mechanical defect at Katipunan Ateneo SB as of 2:44 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032159302935404544
